k,method,rank,mean_f1
5,fasttext_pretrained,35,0.164155421686747
5,glove_pretrained,36,0.15236153846153846
5,mpnet,37,0.1510586776859504
5,sroberta,38,0.14630166666666666
5,e5,39,0.14091542553191488
5,mpnet,40,0.1349604221635884
5,glove_pretrained,41,0.12608095238095238
5,sbert,42,0.121425
5,fasttext_pretrained,43,0.10975
5,instructor,44,0.10663882783882785
5,w2v_self,45,0.10157549019607842
6,logistic_regression,1,0.692527950310559
6,mpnet,2,0.3071409090909091
6,sroberta,3,0.2887011904761905
6,mpnet,4,0.27845476190476187
6,instructor,5,0.27742792207792205
6,sroberta,6,0.27626904761904764
6,mpnet,7,0.2751415584415584
6,e5,8,0.26942012987012987
6,sbert,9,0.26886352813852815
6,instructor,10,0.26810844155844155
6,sbert,11,0.26548127705627705
6,e5,12,0.2613350649350649
6,glove_pretrained,13,0.2547515151515152
6,e5,14,0.2524774891774892
6,w2v_pretrained,15,0.2516953463203463
6,w2v_pretrained,16,0.25043766233766235
6,glove_pretrained,17,0.24865714285714285
6,w2v_pretrained,18,0.2449607142857143
6,fasttext_pretrained,19,0.24469502164502163
6,instructor,20,0.24426883116883116
6,sroberta,21,0.24394967532467535
6,fasttext_pretrained,22,0.24239902597402596
6,fasttext_pretrained,23,0.2421806277056277
6,glove_pretrained,24,0.23830670995670997
6,sbert,25,0.22840508658008657
6,e5,26,0.17674132841328413
6,glove_pretrained,27,0.15489036144578314
6,w2v_self,28,0.15428127705627706
6,sbert,29,0.1515
6,w2v_pretrained,30,0.15046428571428572
6,w2v_self,31,0.14719199134199135
6,w2v_pretrained,32,0.14533809523809524
6,w2v_self,33,0.14001309523809521
6,sroberta,34,0.13887692307692306
6,e5,35,0.1335076923076923
6,instructor,36,0.130325974025974
6,sbert,37,0.11750862068965517
6,mpnet,38,0.10994594594594594
6,fasttext_pretrained,39,0.10309444444444443
6,sroberta,40,0.097236
6,mpnet,41,0.09507190635451505
6,glove_pretrained,42,0.09401333333333332
6,instructor,43,0.08798225108225108
6,fasttext_pretrained,44,0.08723333333333334
6,w2v_self,45,0.0620005291005291
7,mpnet,1,0.27391136363636365
7,sroberta,2,0.25587045454545454
7,sroberta,3,0.25419772727272727
7,mpnet,4,0.24925416666666667
7,instructor,5,0.24727853535353536
7,sbert,6,0.23978914141414143
7,e5,7,0.23785189393939396
7,instructor,8,0.23463295454545452
7,sbert,9,0.2336604797979798
7,glove_pretrained,10,0.22537222222222222
7,mpnet,11,0.2247328282828283
7,w2v_pretrained,12,0.22425391414141416
7,e5,13,0.22292007575757575
7,glove_pretrained,14,0.2222006313131313
7,w2v_pretrained,15,0.22140732323232323
7,fasttext_pretrained,16,0.21695871212121212
7,fasttext_pretrained,17,0.2152391414141414
7,sroberta,18,0.2142
7,e5,19,0.21332739898989897
7,sroberta,20,0.21255833333333335
7,w2v_pretrained,21,0.20945972222222223
7,instructor,22,0.20589015151515153
7,glove_pretrained,23,0.20182992424242424
7,fasttext_pretrained,24,0.19776275252525252
7,sbert,25,0.19771401515151513
7,e5,26,0.1427631188118812
7,e5,27,0.13849
7,w2v_pretrained,28,0.137861320754717
7,glove_pretrained,29,0.1358
7,instructor,30,0.127255
7,w2v_self,31,0.12066830808080808
7,w2v_self,32,0.11890227272727272
7,w2v_self,33,0.11476944444444445
7,sbert,34,0.11164
7,w2v_pretrained,35,0.11135333333333335
7,mpnet,36,0.069035
7,mpnet,37,0.06849999999999999
7,fasttext_pretrained,38,0.06398571428571428
7,sroberta,39,0.060944621513944225
7,sbert,40,0.060034453781512606
7,w2v_self,41,0.04111840490797546
8,mpnet,1,0.24578525252525255
8,sroberta,2,0.2342418181818182
8,sroberta,3,0.22993272727272726
8,mpnet,4,0.22879555555555556
8,instructor,5,0.2217361616161616
8,sbert,6,0.21998707070707071
8,sbert,7,0.21224747474747474
8,instructor,8,0.21060545454545457
8,e5,9,0.20859555555555556
8,w2v_pretrained,10,0.20325434343434343
8,mpnet,11,0.20279111111111112
8,glove_pretrained,12,0.20196141414141414
8,glove_pretrained,13,0.19989272727272728
8,fasttext_pretrained,14,0.19858949494949496
8,w2v_pretrained,15,0.19718747474747475
8,sbert,16,0.19658121212121213
8,e5,17,0.19618161616161614
8,fasttext_pretrained,18,0.19422121212121213
8,sroberta,19,0.18769878787878788
8,w2v_pretrained,20,0.1806321212121212
8,e5,21,0.17873232323232321
8,glove_pretrained,22,0.17336222222222222
8,instructor,23,0.16663818181818182
8,fasttext_pretrained,24,0.16658242424242423
8,sroberta,25,0.14115
8,instructor,26,0.1388
8,w2v_pretrained,27,0.12030888888888888
8,sbert,28,0.1132888888888889
8,w2v_self,29,0.10328868686868686
8,e5,30,0.10010000000000001
8,glove_pretrained,31,0.09882444444444444
8,w2v_self,32,0.09756040404040404
8,w2v_self,33,0.09713292929292928
