method,robustness_ratio
e5,0.24865437958454045
fasttext_pretrained,0.23180757076083447
glove_pretrained,0.2335092542228364
instructor,0.1909612332593947
logistic_regression,0.6673183978275629
mpnet,0.25023842199530133
sbert,0.23643199742784404
sroberta,0.24839868123985523
w2v_pretrained,0.23438599079506506
w2v_self,0.1693874325453273
