method,robustness_ratio
e5,0.6996128997450803
fasttext_pretrained,0.4686801412207267
glove_pretrained,0.5665611799640322
instructor,0.6074276411996801
logistic_regression,0.7713001179245282
mpnet,0.6324331887505247
sbert,0.5928742994395516
sroberta,0.6775588659298414
w2v_pretrained,0.4265739229185889
w2v_self,0.7085655800058089
